기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2012	성북구	197,992	490,639	241,162	249,477	481,857	237,474	244,383	8,782	3,688	5,094	19,968	24.57	2.43	58,142
2012	강북구	142,150	346,493	171,099	175,394	343,157	169,866	173,291	3,336	1,233	2,103	14,684	23.6	2.41	46,222
2012	도봉구	138,036	364,454	180,023	184,431	362,270	179,194	183,076	2,184	829	1,355	17,605	20.7	2.62	42,267
2012	노원구	222,959	600,829	293,616	307,213	597,189	292,081	305,108	3,640	1,535	2,105	16,955	35.44	2.68	61,218
2012	은평구	200,502	505,902	248,150	257,752	501,480	246,318	255,162	4,422	1,832	2,590	17,035	29.7	2.5	60,776
2012	서대문구	135,104	324,733	157,969	166,764	315,113	154,017	161,096	9,620	3,952	5,668	18,444	17.61	2.33	42,088
2012	마포구	166,722	393,576	190,514	203,062	384,644	186,452	198,192	8,932	4,062	4,870	16,511	23.84	2.31	44,283
2012	양천구	181,135	500,533	248,683	251,850	495,911	246,637	249,274	4,622	2,046	2,576	28,769	17.4	2.74	43,514
2012	강서구	223,708	573,794	282,185	291,609	567,431	278,969	288,462	6,363	3,216	3,147	13,851	41.43	2.54	55,821
2012	구로구	171,498	454,478	229,130	225,348	427,520	214,982	212,538	26,958	14,148	12,810	22,589	20.12	2.49	45,252
2012	금천구	104,357	260,734	133,834	126,900	243,288	124,675	118,613	17,446	9,159	8,287	20,055	13	2.33	26,848
2012	영등포구	167,685	426,876	215,084	211,792	391,408	196,765	194,643	35,468	18,319	17,149	17,386	24.55	2.33	46,237
2012	동작구	169,293	416,268	204,479	211,789	405,491	199,454	206,037	10,777	5,025	5,752	25,456	16.35	2.4	47,185
2012	관악구	247,598	540,520	273,640	266,880	523,029	265,281	257,748	17,491	8,359	9,132	18,280	29.57	2.11	56,620
2012	서초구	168,878	439,998	213,011	226,987	435,044	210,440	224,604	4,954	2,571	2,383	9,361	47	2.58	41,763
2012	강남구	230,755	569,997	274,124	295,873	564,197	270,970	293,227	5,800	3,154	2,646	14,431	39.5	2.45	50,348
2012	송파구	257,852	680,150	333,060	347,090	673,115	329,747	343,368	7,035	3,313	3,722	20,078	33.88	2.61	58,490
2012	강동구	187,490	492,728	246,237	246,491	487,905	244,172	243,733	4,823	2,065	2,758	20,042	24.59	2.6	44,941
2013	합계	4,182,351	10,388,055	5,126,351	5,261,704	10,143,645	5,007,869	5,135,776	244,410	118,482	125,928	17,165	605.2	2.43	1,167,177
2013	종로구	73,693	167,867	83,211	84,656	160,070	79,519	80,551	7,797	3,692	4,105	7,022	23.91	2.17	23,997
2013	중구	60,600	137,990	69,128	68,862	130,465	65,371	65,094	7,525	3,757	3,768	13,854	9.96	2.15	19,346
2013	용산구	109,361	251,925	122,974	128,951	239,740	116,491	123,249	12,185	6,483	5,702	11,520	21.87	2.19	34,017
2013	성동구	126,447	306,571	152,809	153,762	299,337	149,304	150,033	7,234	3,505	3,729	18,190	16.85	2.37	35,421
2013	광진구	159,173	381,439	187,584	193,855	368,927	181,864	187,063	12,512	5,720	6,792	22,356	17.06	2.32	37,623
2013	동대문구	159,256	376,445	188,167	188,278	364,273	182,987	181,286	12,172	5,180	6,992	26,490	14.21	2.29	49,097
2013	중랑구	174,938	421,237	210,390	210,847	416,798	208,641	208,157	4,439	1,749	2,690	22,773	18.5	2.38	48,998
2013	성북구	196,693	485,347	238,228	247,119	476,589	234,573	242,016	8,758	3,655	5,103	19,747	24.58	2.42	60,499
2013	강북구	141,246	341,921	168,546	173,375	338,707	167,342	171,365	3,214	1,204	2,010	14,490	23.6	2.4	48,547
2013	도봉구	137,714	360,609	177,925	182,684	358,582	177,153	181,429	2,027	772	1,255	17,418	20.7	2.6	44,469
