연도,자치구,인구,발생건수,인구 수 대비 사고비율
2011,동대문구,378534,1671,0.4414398706589104
2011,동작구,413658,1128,0.2726890329692645
2011,마포구,398627,1547,0.38808209178003494
2011,서대문구,324529,986,0.3038249278184692
2011,서초구,439012,1913,0.43575118675571506
2011,성동구,308767,1087,0.35204539345202046
2011,성북구,494422,1456,0.2944852777586758
2011,송파구,690466,2435,0.35266037719453236
2011,양천구,505605,1330,0.2630511960918108
2011,영등포구,439555,2157,0.4907235727042122
2011,용산구,259288,1100,0.42423868439727247
2011,은평구,498350,1380,0.2769138155914518
2011,종로구,177419,1336,0.7530196878575576
2011,중구,141567,1421,1.0037650017306294
2011,중랑구,428672,1640,0.3825768886234697
2012,강남구,569997,3554,0.6235120535722118
2012,강동구,492728,1339,0.2717523664171713
2012,강북구,346493,1118,0.32266164107211404
2012,강서구,573794,1597,0.2783228824281885
2012,관악구,540520,1591,0.2943461851550359
2012,광진구,384269,1397,0.3635474107981648
2012,구로구,454478,1469,0.32322796703030726
2012,금천구,260734,948,0.36358894505511363
2012,노원구,600829,1511,0.2514858636983235
2012,도봉구,364454,926,0.2540787040339796
2012,동대문구,375683,1766,0.4700771661214375
2012,동작구,416268,1174,0.2820298461568028
2012,마포구,393576,1466,0.37248206191434435
2012,서대문구,324733,965,0.29716721121659945
2012,서초구,439998,1905,0.43295651343869745
2012,성동구,306868,907,0.29556682352021063
2012,성북구,490639,1468,0.2992016533540954
2012,송파구,680150,2673,0.393001543777108
2012,양천구,500533,1306,0.2609218573001181
2012,영등포구,426876,2027,0.47484515409627154
2012,용산구,255294,1124,0.4402767005883413
2012,은평구,505902,1386,0.2739661041071195
2012,종로구,173148,1293,0.7467599972278051
2012,중구,140807,1370,0.9729629918967097
2012,중랑구,423655,1618,0.3819145295110408
2013,강남구,569152,3376,0.5931631620375576
2013,강동구,487969,1256,0.25739339999057315
2013,강북구,341921,1045,0.3056261534097058
2013,강서구,575236,1565,0.27206224923335814
2013,관악구,535128,1636,0.3057212480004784
2013,광진구,381439,1217,0.3190549471868372
2013,구로구,452168,1320,0.29192689442861947
2013,금천구,258254,890,0.3446219613248972
2013,노원구,594027,1437,0.24190819609209682
2013,도봉구,360609,875,0.24264508096026446
2013,동대문구,376445,1849,0.49117400948345713
2013,동작구,421487,1159,0.2749788249696906
2013,마포구,391098,1628,0.41626395430301355
2013,서대문구,324067,993,0.3064181172411878
2013,서초구,446541,1904,0.4263886182903697
2013,성동구,306571,1020,0.33271248748250815
2013,성북구,485347,1430,0.29463456042790004
2013,송파구,674955,2290,0.3392818780511293
2013,양천구,496934,1236,0.2487251828210587
2013,영등포구,421577,2022,0.4796276836734452
2013,용산구,251925,1286,0.5104693857298799
2013,은평구,508111,1150,0.22632849908779773
2013,종로구,167867,1190,0.7088945415120304
2013,중구,137990,1355,0.9819552141459527
2013,중랑구,421237,1590,0.37745971982518156
2014,강남구,583446,3345,0.5733178391830607
2014,강동구,481332,1347,0.2798484206327441
2014,강북구,338410,1228,0.3628734375461718
2014,강서구,591653,1682,0.28428825679917114
2014,관악구,531960,1580,0.2970148131438454
2014,광진구,377375,1380,0.36568400132494205
2014,구로구,457131,1482,0.3241959088313853
2014,금천구,258030,967,0.37476262450102704
2014,노원구,586056,1431,0.24417461812523034
2014,도봉구,355712,845,0.2375517272400144
2014,동대문구,376319,1723,0.4578562336740903
2014,동작구,419261,1291,0.30792274979070317
2014,마포구,395830,1639,0.4140666447717455
2014,서대문구,320861,1029,0.3206996175914181
2014,서초구,454288,2054,0.45213608988130877
2014,성동구,303891,1102,0.36263002194865923
2014,성북구,475961,1550,0.32565693407653146
2014,송파구,671794,2430,0.36171802665698116
2014,양천구,490708,1348,0.2747051199491347
2014,영등포구,421436,2057,0.4880930912404256
2014,용산구,249914,1257,0.5029730227198156
2014,은평구,503243,1217,0.24183148101414226
2014,종로구,165344,1212,0.733017224695181
2014,중구,136227,1218,0.894095884075844
2014,중랑구,423411,1503,0.35497424488263174
2015,강남구,581760,3683,0.6330789328932893
2015,강동구,463321,1384,0.298712987324123
2015,강북구,334426,1170,0.3498531812717911
2015,강서구,595691,1785,0.2996520007856422
2015,관악구,529031,1507,0.2848604335095675
2015,광진구,375180,1140,0.30385415000799615
2015,구로구,454604,1430,0.3145594847383657
2015,금천구,256167,852,0.33259553338252
2015,노원구,578221,1364,0.23589596365403542
2015,도봉구,353241,850,0.24062891906658626
2015,동대문구,373824,1960,0.5243109056668378
2015,동작구,412774,1285,0.3113083672905754
2015,마포구,398351,1662,0.41721998940632765
2015,서대문구,323105,970,0.3002120053852463
2015,서초구,451258,2006,0.4445350553341991
2015,성동구,305065,1147,0.3759854457246816
2015,성북구,469560,1578,0.3360592895476616
2015,송파구,667480,2507,0.3755917780308024
2015,양천구,489010,1487,0.3040837610682808
2015,영등포구,417811,2297,0.5497701113661441
2015,용산구,247909,1412,0.5695638318899273
2015,은평구,502578,1120,0.2228509803453394
2015,종로구,163822,1296,0.7911025381206431
2015,중구,134329,1249,0.9298066687014719
2015,중랑구,418620,1600,0.38220820792126514
2016,강남구,572140,3597,0.6286922781137484
2016,강동구,448471,1308,0.29165765456406323
2016,강북구,330704,1161,0.35106923411872853
2016,강서구,602104,1549,0.25726452572977426
2016,관악구,525607,1296,0.24657205859130493
2016,광진구,372104,975,0.26202352030615095
2016,구로구,449600,1427,0.3173932384341637
2016,금천구,254654,753,0.29569533563187694
2016,노원구,571212,1459,0.2554218048640435
2016,도봉구,350272,902,0.25751416042389913
2016,동대문구,370312,1947,0.5257728618030202
2016,동작구,413247,1365,0.3303109278470261
2016,마포구,390887,1640,0.4195585936600603
2016,서대문구,325871,1037,0.3182240825357273
2016,서초구,451477,2151,0.47643623041705335
